nb_objets,temps_arbo,temps_dyn,timeout
143,0.2680335839977488,0.25844674999825656,False
143,0.26231845800066367,0.25759066700265976,False
144,0.2568982500015409,0.2578221250005299,False
144,0.26791845799743896,0.25821641700167675,False
145,0.2698166249974747,0.25754616600170266,False
145,0.2560458340012701,0.2590948750003008,False
146,0.26073558400094043,0.2587065830011852,False
146,0.259143708004558,0.25901808299386175,False
147,0.2543420000001788,0.2567525830017985,False
147,0.2583818330022041,0.2569640419969801,False
148,0.2558383329960634,0.25752504100091755,False
148,0.2682352499978151,0.2575315420035622,False
149,0.2700512079973123,0.2599639580002986,False
149,0.270574582995323,0.2645084589967155,False
150,0.25525416600430617,0.27063020799687365,False
150,0.306415790997562,0.26072683300299104,False
151,0.27913620800245553,0.2643270830012625,False
151,0.2614992080052616,0.2633209589985199,False
152,0.2612204170000041,0.26563091600110056,False
152,0.268666125004529,0.26519412500056205,False
153,0.268341834002058,0.26473704099771567,False
153,0.25552316699759103,0.2650532080006087,False
154,0.27997333299572347,0.26083441600349033,False
154,0.26240233299904503,0.26499129200237803,False
155,0.28679325000121025,0.2630028330022469,False
155,0.25923079199856147,0.26190983400010737,False
156,0.2681775419987389,0.2608171659958316,False
156,0.26926766600081464,0.25998475000233157,False
157,0.25454666699806694,0.27528245800203877,False
157,0.3575329579980462,0.2645778750011232,False
158,0.3673137500009034,0.26496033399598673,False
158,0.283327624994854,0.327952917003131,False
159,0.2969375839966233,0.27915158300311305,False
159,0.2674455000014859,0.2652349170020898,False
160,0.272094832995208,0.2616628750038217,False
160,0.3028050409993739,0.26020429199706996,False
161,0.2610086249987944,0.2614534169988474,False
161,0.32723554100084584,0.26452741699904436,False
162,0.34489754200330935,0.2610410420020344,False
162,0.2614547089979169,0.2612722079938976,False
163,0.25360879200161435,0.26134724999428727,False
163,0.26162320799630834,0.2610950829985086,False
164,0.25553541599947494,0.26306250000197906,False
164,0.2586732089985162,0.2606656669959193,False
165,0.26387220800097566,0.2604501669993624,False
165,0.25683370800106786,0.2609789170019212,False
166,0.2617930830019759,0.2610502089955844,False
166,0.3787193749958533,0.26057708299777005,False
167,0.2548947079994832,0.26036220799869625,False
167,0.2794591250058147,0.26074720900214743,False
168,0.27524650000123074,0.2599182089979877,False
168,0.2530756249980186,0.26075816699449206,False
169,0.2575815829986823,0.259904042002745,False
169,0.2745514580019517,0.2649629579973407,False
170,0.31544079200102715,0.26577433399506845,False
170,0.30219608300103573,0.26167591600096785,False
171,0.28116687500005355,0.2647810829948867,False
171,0.2592302089979057,0.26089437500195345,False
172,0.26677974999620346,0.2610319170053117,False
172,0.2551409999941825,0.2657893330033403,False
173,0.25760108399845194,0.2610641250066692,False
173,0.25453112499963026,0.26459858400630765,False
174,0.28452154199476354,0.26256766699953005,False
174,0.3146405829975265,0.26784525000402937,False
